"<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">With the FLOA PAY solution, your customers can easily split their purchase into monthly payments while you receive funding upfront and in full.<br />Quick and easy to use, the FLOA PAY is a secure, paperless payment solution which works as simply as paying with a credit card at a point of sale.</div>","<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">Mit der Zahlungslösung FLOA Pay können Sie Ihren Kunden die Ratenzahlung anbieten, während Sie sofort den Gesamtbetrag der Transaktion finanziert bekommen.<br /> FLOA Pay ist eine einfache, schnelle, papierlose und sichere Zahlungslösung, für die Sie Ihre Kreditkarte nicht wechseln müssen.</div>"
"You can find more informations on website <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> about merchant configuration.", "Weitere Informationen zur Händlerkonfiguration finden Sie auf der Webseite <a href=""https://floapay.readme.io/reference"" target=""_blank"">Lesen Sie mich FLOA Pay</a>."
"Merchant Login","Händler-ID"
"Merchant Password","Kennwort Händler"
"Merchant Code","Händler-Code"
"Environment","Umgebung"
"Payment methods","Zahlungsmethoden"
"Payment in 1 deferred monthly payment","Zahlung in 1 Monatsraten mit Aufschub"
"Payment in 3 monthly installments","Zahlung in 3 Monatsraten"
"Payment in 4 monthly installments","Zahlung in 4 Monatsraten"
"Payment in 10 monthly installments","Zahlung in 10 Monatsraten"
"Production","Produktion"
"Integration","Integration"
"Merchant Site ID","Shop-Code"
"Report mode","Aufschubart"
"Report delay", " Aufschubfrist"
"Customer", " Kunde"
"Merchant", " Händler"
"Your transaction", " Ihre Transaktion"
"Total amount", " Betrag insgesamt"
"including", "davon"
"of fees", "Gebühren"
"Your payment schedule", " Ihr Ratenzahlungsplan"
"no fees", "keine Gebühren"
"At", "Der"
"Between", " Zwischen dem"
"and", "und dem"
"Desired payment date", " Gewünschtes Zahlungsdatum"
"Your payment date must be between the day after your purchase and 30 days later.", " Ihr Zahlungsdatum muss zwischen dem Tag nach dem Kauf und 30 Tage später liegen."
"By validating this information, you have used your respected data with a final assessment of your eligibility for payment in severals installments.", " Indem Sie diese Informationen bestätigen, erklären Sie sich damit einverstanden, dass Ihre Daten zur Überprüfung Ihrer Berechtigung zur Ratenzahlung verwendet werden."
