"<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">With the FLOA PAY solution, your customers can easily split their purchase into monthly payments while you receive funding upfront and in full.<br />Quick and easy to use, the FLOA PAY is a secure, paperless payment solution which works as simply as paying with a credit card at a point of sale.</div>","<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">Con la solución de pago FLOA Pay, puede ofrecer a sus clientes la opción de pagar a plazos con una financiación inmediata del importe total de la transacción.<br /> Sencillo y rápido. FLOA Pay es una solución de pago segura y sin papel sin cambiar de tarjeta bancaria.</div>"
"You can find more informations on website <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> about merchant configuration.", "Consulte toda la información en la página web <a href=""https://floapay.readme.io/reference"" target=""_blank"">Léame FLOA Pay</a> sobre la configuración del comerciante."
"Merchant Login", "Identificación del comerciante"
"Merchant Password", "Contraseña del comerciante"
"Merchant Code", "Código de comerciante"
"Environment", "Medio ambiente"
"Payment methods", "Métodos de pago"
"Payment in 1 deferred monthly payment", "Pago en 1 mes aplazado"
"Payment in 3 monthly installments", "Pago en 3 plazos"
"Payment in 4 monthly installments", "Pago en 4 cuotas mensuales"
"Payment in 10 monthly installments", "Pago en 10 plazos"
"Production", "Producción"
"Integration", "Integración"
"Merchant Site ID", "Código de contador"
"Report mode", "Tipo de aplazamiento"
"Report delay", "Período de aplazamiento"
"Customer", "Cliente"
"Merchant", "Comerciante"
"Your transaction", "Su transacción"
"Total amount", "Importe total"
"including", "de los cuales"
"of fees", "Tasa"
"Your payment schedule", "Su plan de pago"
"no fees", "sin gastos"
"At", "El"
"Between", "Entre el"
"and", "y el"
"Pay in multiple times with ", "Pagar en varias cuotas con "
"Desired payment date", "Fecha de pago deseada"
"Your payment date must be between the day after your purchase and 30 days later.", "La fecha de pago debe estar comprendida entre el día siguiente a la compra y 30 días después"
"By validating this information, you have used your respected data with a final assessment of your eligibility for payment in severals installments.", "Al validar esta información, usted acepta que sus datos sean utilizados para fines de evaluación según su elección de pago en varios plazos."
"Please complete this information to verify your eligibility.", "Completa estos datos para verificar su elegibilidad."
"More information here", "Más información aquí"
"Civility", "Título"
"M.", "Señor"
"Mrs", "Señora"
"Birth name", "Nombre"
"Your maiden name should not exceed 64 characters", "Su nombre no debe superar los 64 caracteres"
"Phone number", "Teléfono Movil"
"Your date of birth", "Fecha de nacimiento"
"Your postal code of birth", "Código postal"
"Your birth date must be valid in the format « DD/MM/YYYY » and your birth postal code must consist of 5 digits without spaces (99 in the case of a foreign country)", "Su fecha de nacimiento debe ser válida, con formato DD/MM/AAAA, y su código postal debe tener 5 dígitos sin espacios (99 en caso de un país extranjero)."
"Your birth postal code must consist of 5 digits without spaces.", "Su código postal debe tener 5 dígitos sin espacios (99 en caso de un país extranjero)."
"Phone number is invalid.", "El teléfono Movil no es válido."
"Civility is invalid.", "El título no es válido."
"Civility is mandatory.", "El título es obligatorio."
"Second lastname is invalid.", "El segundo apellido no es válido."
"Birth date is invalid.", "La fecha de nacimiento no es válida."
"Birth date is mandatory.", "La fecha de nacimiento es obligatoria."
"Your postal code of birth must be composed of 5 digits without spaces (99 in the case of a country of birth abroad)", "Su código postal debe tener 5 dígitos sin espacios (99 en caso de un país extranjero)."
"Please enter a valid phone number.", "Por favor, introduzca un número de teléfono válido."
"You must be over 18 years old.", "Debe tener más de 18 años."
"Maiden name is invalid.", "El nombre no es válido."
"Payment date is invalid.", "La fecha de pago no es válida."
"By validating this information, you agree that your data will be used for the purpose of evaluating your eligibility for payment in installments.","Acepto que mis datos personales sean procesados por FLOA con el fin de estudiar mi solicitud de préstamo, gestión del crédito y en su caso cobro. Para más información, haga clic"
"More information here.","aquí."
"To continue, you must agree to your personal data being processed by FLOA.","Para continuar, debe aceptar que FLOA procese sus datos personales."
"By validating your choice of payment, you have read and accept the general conditions of payment in installments of FLOA.","Si elije este método de pago, usted acepta los términos y"
"See here.","condiciones del pago fraccionado de FLOA."
"To continue, please accept the terms and conditions.","Para continuar, acepte los términos y condiciones."
"An error has occurred, please try again in a few moments...", "Se ha producido un error, por favor, vuelva a intentarlo en unos segundos."
"Sorry, your financing request was not accepted by Floa Bank.", "Lo sentimos, su solicitud de financiación no ha sido aceptada por Floa Bank."
"The financing is fully managed by Floa Bank which reserves the right of refusal according to its own rules.", "La financiación se gestion totalmente por Floa Bank, reservándose el derecho de rechazarla según sus propias normas."
"The reason for refusal cannot be be communicated to you because of banking secrecy.", "El motivo del retracto no se puede informar debido a secreto bancario."
"Successfully created Floa Bank Payment. Redirecting customer & awaiting payment return.", "Pago de Floa Bank generado correctamente. Redirección del cliente y a la espera del pago del reembolso."
"Payment captured", "Pago registrado"
"Payment authorization accepted", "Autorización de pago aceptada"
"Capture payment required", "Registro de pago obligatorio"
"Order payment refused", "Lo sentimos, su solicitud de financiación no ha sido aceptada por Floa Bank. La financiación se gestiona íntegramente por Floa Bank, reservándose el derecho de retracto conforme a sus propias normas. El motivo del retracto no se puede informar debido a secreto bancario."
"Order is canceled", "El pedido se ha cancelado"
"There was an error when validating your payment. Please try again or contact us if the problem persists.", "Se ha producido un error durante la validación de su pago. Por favor, inténtelo de nuevo o póngase en contacto con nosotros si el problema persiste."
"Bad request", "Solicitud no válida"
"No schedules found...", "Horario no encontrado..."
"Rank", "Rango"
"Date", "Fecha"
"Due amount", "Importe"
"State", "Estado"
"Fees amount", "Importe de las tasas"
"FLOA Pay order reference", "Referencia FLOA Pay"
"FLOA Pay Payment information", "Por favor, introduzca un número de teléfono válido."
"This is a required field.", "Campo obligatorio"
"Technical error on Floa Bank payment validation", "Se ha producido un error durante la validación del pago FLOA bank"
"PLEASE NOTE, payment capture has not yet been performed for this order.", "ATENCIÓN: el registro del pago de este pedido aún no se ha realizado."
"État", "Registrar el pago"
"Make refund", "Realizar un reembolso"
"Refunds", "Reembolsos"
"Schedules", "Plan de pago"
"Order successfully captured.", "Registro de pago realizado correctamente"
"The amount to be refunded is invalid.", "El importe del reembolso es incorrecto."
"Refund successfully completed.", "Por favor, vuelva a realizar el pedido. Sentimos las molestias."
"Maximum refund amount", "Importe máximo de reembolso"
"* The financing fees will be calculated according to your deferral period.", "* Los gastos de financiación se calculan en función de su período de aplazamiento."
"Up to", "Estado"
"of fees*", "Tasa"
"Second last name", "Segundo apellido"
"The second last name is not valid", "El segundo apellido no es válido"
"Your second last name must not exceed 64 characters", "Su segundo apellido no debe superar los 64 caracteres"
"Tax identification number is mandatory.", "DNI o NIE es obligatorio"
"Tax identification number", "DNI o NIE"
"Tax identification number is not valid.", "El NIF debe contener 8 dígitos seguidos de 1 letra, El NIE debe contener 1 letra seguidos de 7 dígitos y una 1 letra"
"Check your billing address.", "Verifique su dirección de facturación."
"Place Order", "Realizar pedido",module,FLOA_Payment
"without fees", "sin gastos"
"Pay in", "Pagar en"
"Your payment in several time", "Tu pago en varios plazos"
"for an amount of", "por un importe de"
"For this purchase, you can pay in :", "Para esta compra, puedes pagar en :"
"Deferred payment", "Pago diferido"
