"<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">With the FLOA PAY solution, your customers can easily split their purchase into monthly payments while you receive funding upfront and in full.<br />Quick and easy to use, the FLOA PAY is a secure, paperless payment solution which works as simply as paying with a credit card at a point of sale.</div>","<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">Con la soluzione di pagamento FLOA Pay, può proporre ai suoi clienti il ​​pagamento a rate, mentre è finanziato immediatamente per l'intero importo della transazione.<br /> Semplice e veloce, FLOA Pay è una soluzione di pagamento dematerializzata e sicura, che non richiede il cambiamento della carta di credito.</div>"
"You can find more informations on website <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> about merchant configuration.", "Può trovare maggiori informazioni sul sito web <a href=https://floapay.readme.io/reference target=""_blank"">Read Me FLOA Pay</a> per quanto riguarda la configurazione del commerciante."
"Merchant Login", "ID Commerciante"
"Merchant Password", "Password commerciante"
"Merchant Code", "Codice commerciante"
"Environment", "Ambiente"
"Payment methods", "Modalità di pagamento"
"Payment in 1 deferred monthly payment", "Pagamento in 1 rata mensile differita"
"Payment in 3 monthly installments", "Pagamento in 3 rate mensili"
"Payment in 4 monthly installments", "Pagamento in 4 rate mensili"
"Payment in 10 monthly installments", "Pagamento in 10 rate mensili"
"Production", "Produzione"
"Integration", "Integrazione"
"Merchant Site ID", "Codice filiale"
"Report mode", "Tipo di dilazione"
"Report delay", "Periodo di dilazione"
"Customer", "Cliente"
"Merchant", "Commerciante"
"Your transaction", "La sua transazione"
"Total amount", "Importo totale"
"including", "di cui"
"of fees", "di commissioni"
"Your payment schedule", "Il suo scadenzario"
"no fees", "zero commissioni"
"At", "Il"
"Between", "Tra il"
"and", "e il"
"Desired payment date", "Data di pagamento desiderata"
"Pay in multiple times with ", "Pagamento a rate con "
"Your payment date must be between the day after your purchase and 30 days later.", "La data di pagamento deve essere compresa tra il giorno successivo all'acquisto e i 30 giorni successivi"
"By validating this information, you have used your respected data with a final assessment of your eligibility for payment in severals installments.", "Accettando queste informazioni, consente il trattamento dei suoi dati che saranno utilizzati al fine di verificare la sua idoneità al finanziamento."
