"<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">With the FLOA PAY solution, your customers can easily split their purchase into monthly payments while you receive funding upfront and in full.<br />Quick and easy to use, the FLOA PAY is a secure, paperless payment solution which works as simply as paying with a credit card at a point of sale.</div>","<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">Met de FLOA Pay betaaloplossing kunt u uw klanten de mogelijkheid bieden om in termijnen te betalen en toch onmiddellijk het volledige bedrag van de transactie ontvangen.<br />FLOA Pay is een gedematerialiseerde, eenvoudige en beveiligde betaaloplossing. U kunt ook uw eigen bankkaart behouden.</div>"
"You can find more informations on website <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> about merchant configuration.", "U vindt meer informatie over de setup voor webwinkeliers op de volgende website ; <a href=""https://floapay.readme.io/reference"" target=""_blank"">Lees Mij FLOA Pay</a>."
"Merchant Login", "Handelaars-ID"
"Merchant Password", "Wachtwoord handelaar"
"Merchant Code", "Handelaars code"
"Environment", "Ruimte"
"Payment methods", "Betaalmethoden"
"Payment in 1 deferred monthly payment", "Betaling met uitstel van 1 maand"
"Payment in 3 monthly installments", "Betaling in 3 termijnen"
"Payment in 4 monthly installments", "Betaling in 4 termijnen"
"Payment in 10 monthly installments", "Betaling in 10 termijnen"
"Production", "Productie"
"Integration", "Integratie"
"Merchant Site ID", "Loket code"
"Report mode", "Type uitstel"
"Report delay", "Uitstelperiode"
"Customer", "Klant"
"Merchant", "Handelaar"
"Your transaction", "Uw transactie"
"Total amount", "Totaal bedrag"
"including", "waaronder"
"of fees", "kosten "
"Your payment schedule", "Uw betalingsregeling"
"no fees", "kostenloos"
"At", "De"
"Between", "Tussen"
"and", "und"
"Desired payment date", "Gewenste betalingsdatum"
"Pay in multiple times with ", "Betaal in termijnen met "
"Your payment date must be between the day after your purchase and 30 days later.", "Uw betalingsdatum moet tussen de dag na uw aankoop en 30 dagen later plaatsvinden"
"By validating this information, you have used your respected data with a final assessment of your eligibility for payment in severals installments.", "Door deze informatie te valideren, aanvaardt u dat uw gegevens gebruikt zullen worden om te beoordelen of u in aanmerking komt voor een betaling in meerdere termijnen."
