"<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">With the FLOA PAY solution, your customers can easily split their purchase into monthly payments while you receive funding upfront and in full.<br />Quick and easy to use, the FLOA PAY is a secure, paperless payment solution which works as simply as paying with a credit card at a point of sale.</div>","<div class=""floa-payment-logo""></div><div class=""floa-payment-text"">Com a solução de pagamento FLOA Pay, pode oferecer aos seus clientes o pagamento em prestações e ainda ser financiado imediatamente pelo montante total da transação.<br /> Simples e rápida, a FLOA Pay é uma solução de pagamento totalmente digital e segura, que não requer a mudança de cartão bancário.</div>"
"You can find more informations on website <a href=""https://floapay.readme.io/reference"" target=""_blank"">ReadMe FLOA Pay</a> about merchant configuration.", "Pode encontrar mais informações no sítio <a href=""https://floapay.readme.io/reference"" target=""_blank"">Read Me FLOA Pay</a> relativo à configuração do comerciante."
"Merchant Login", "Nome de usuário do vendedor"
"Merchant Password", "Senha do vendedor"
"Merchant Code", "ID do vendedor"
"Environment", "Ambiente"
"Payment methods", "Modos de pagamento"
"Payment in 1 deferred monthly payment", "Pagamento em 1 prestação diferida"
"Payment in 3 monthly installments", "Pagamento em 3 prestações"
"Payment in 4 monthly installments", "Pagamento em 4 prestações"
"Payment in 10 monthly installments", "Pagamento em 10 prestações"
"Production", "Produção"
"Integration", "Integração"
"Merchant Site ID", "ID do Sítio do Comerciante"
"Report mode", "Tipo de adiamento"
"Report delay", "Período de diferimento"
"Customer", "Cliente"
"Merchant", "Vendedor"
"Your transaction", "Sua transação"
"Total amount", "Montante total"
"including", "dos quais"
"of fees", "de taxas"
"Your payment schedule", "Seu plano de pagamento"
"no fees", "sem taxas"
"At", "O"
"Between", "Insira o"
"and", "e o"
"Pay in multiple times with ", "Pague fracionado sem juros com "
"Desired payment date", "Data de pagamento pretendida"
"Your payment date must be between the day after your purchase and 30 days later.", "A sua data de pagamento deve ser entre o dia seguinte ao da compra e 30 dias depois"
"By validating this information, you have used your respected data with a final assessment of your eligibility for payment in severals installments.", "Ao validar estas informações, aceita que os seus dados serão utilizados para avaliar a sua elegibilidade para o pagamento em prestações."
"Please complete this information to verify your eligibility.", "Preencha as informações para verificar a sua elegibilidade."
"More information here", "Mais informações aqui"
"Civility", "Título"
"M.", "Sr."
"Mrs", "Sra."
"Birth name", "Apelido de nascimento"
"Your maiden name should not exceed 64 characters", "O seu apelido de nascimento não pode exceder 64 caracteres"
"Phone number", "Telemóvel"
"Your date of birth", "Data de nascimento"
"Your postal code of birth", "Código postal de nascimento"
"Your birth date must be valid in the format « DD/MM/YYYY » and your birth postal code must consist of 5 digits without spaces (99 in the case of a foreign country)", "A sua data de nascimento deve ser válida no formato DD/MM/AAAAA e o seu código postal de nascimento ter 5 dígitos sem espaços (99 no caso de nascimento fora da França)."
"Your birth postal code must consist of 5 digits without spaces.", "O seu código postal de nascimento deve ter 5 dígitos sem espaços (99 em caso de nascimento fora da França)."
"Phone number is invalid.", "O Telemóvel é inválido."
"Civility is invalid.", "O título é inválido."
"Civility is mandatory.", "O título é obrigatório."
"Birth date is invalid.", "A data de nascimento é inválida."
"Birth date is mandatory.", "A data de nascimento é obrigatória."
"Your postal code of birth must be composed of 5 digits without spaces (99 in the case of a country of birth abroad)", "O seu código postal de nascimento deve ter 5 dígitos sem espaços (99 em caso de nascimento fora da França)."
"Please enter a valid phone number.", "Introduza um número de telefone válido."
"You must be over 18 years old.", "É preciso ser maior de 18 anos."
"Maiden name is invalid.", "O apelido de nascimento não é válido."
"Payment date is invalid.", "A data de pagamento é inválida."
"By validating this information, you agree that your data will be used for the purpose of evaluating your eligibility for payment in installments.","Reconheço que os meus dados pessoais serão tratados pela FLOA para efeitos de processamento do meu pedido de crédito, gestão do contrato de crédito e, se aplicável, cobrança. Para mais informações,"
"More information here.","clique aqui."
"To continue, you must agree to your personal data being processed by FLOA.","Para continuar, aceite que os seus dados pessoais sejam tratados pela FLOA."
"By validating your choice of payment, you have read and accept the general conditions of payment in installments of FLOA.","Ao escolher este método de pagamento, você aceita as"
"See here.","condições gerais de pagamento fracionado de FLOA"
"To continue, please accept the terms and conditions.","Para continuar, por favor aceite os termos e condições."
"An error has occurred, please try again in a few moments...", "Ocorreu um erro, por favor tente novamente em alguns instantes..."
"Sorry, your financing request was not accepted by Floa Bank.", "Lamentamos, o seu pedido de financiamento não foi aceite pelo Floa Bank."
"The financing is fully managed by Floa Bank which reserves the right of refusal according to its own rules.", "O financiamento é inteiramente gerido pelo Floa Bank, que se reserva o direito de recusa segundo suas próprias regras."
"The reason for refusal cannot be be communicated to you because of banking secrecy.", "O motivo da recusa não lhe pode ser comunicado devido ao sigilo bancário."
"Successfully created Floa Bank Payment. Redirecting customer & awaiting payment return.", "Pagamento de Floa Bank criado com sucesso. Redirecionamento do cliente e espera pelo estorno do pagamento."
"Payment captured", "Pagamento capturado"
"Payment authorization accepted", "Autorização de pagamento aceite"
"Capture payment required", "Captura de pagamento necessária"
"Order payment refused", "Lamentamos, o seu pedido de financiamento não foi aceite pela FLOA. O financiamento é inteiramente gerido pelo Floa Bank, que se reserva o direito de recusa conforme suas próprias regras. Devido ao sigilo bancário, o motivo da recusa não lhe pode ser comunicado."
"Order is canceled", "A encomenda foi cancelada"
"There was an error when validating your payment. Please try again or contact us if the problem persists.", "Ocorreu um erro durante a validação do seu pagamento. Por favor, tente novamente ou contacte-nos se o problema persistir."
"Bad request", "Requerimento inválido"
"No schedules found...", "Plano de pagamento não encontrado..."
"Rank", "Etapa"
"Date", "Data"
"Due amount", "Montante"
"State", "Estado"
"Fees amount", "Montante das taxas"
"FLOA Pay order reference", "Referência FLOA Pay"
"FLOA Pay Payment information", "Introduza um número de telefone válido."
"This is a required field.", "Este campo é obrigatório."
"Technical error on Floa Bank payment validation", "Erro técnico durante a validação do pagamento FLOA Bank"
"PLEASE NOTE, payment capture has not yet been performed for this order.", "ATENÇÃO, a captura do pagamento ainda não foi efetuada para esta encomenda."
"État", "Capturar o pagamento"
"Make refund", "Fazer um reembolso"
"Refunds", "Reembolsos"
"Schedules", "Plano de pagamento"
"Order successfully captured.", "Captura de pagamento realizada com sucesso."
"The amount to be refunded is invalid.", "O montante a ser reembolsado é incorrecto."
"Refund successfully completed.", "Por favor, realize uma nova encomenda. Pedimos desculpas pelo inconveniente."
"Maximum refund amount", "Montante máximo de reembolso"
"* The financing fees will be calculated according to your deferral period.", "*As taxas de financiamento são calculadas em função do seu período de diferimento."
"Up to", "Estado"
"of fees*", "de taxas"
"Tax identification number is mandatory.", "O número de identificação fiscal é obrigatório."
"Tax identification number", "NIF"
"Tax identification number is not valid.", "O NIF não é válido."
"Place Order", "Faça a encomenda"
"without fees", "sem juros"
"Pay in", "Pagar em"
"Your payment in several time", "O seu pagamento fracionado"
"for an amount of", "no valor de"
"For this purchase, you can pay in :", "Para esta compra, pode pagar em :"
"Deferred payment", "Pagamento diferido"
"Payment in", "Pagamento em"
"Pay today", "Imediato"
"Pay today :", "Imediato :"
"Followed by 9 monthly payments", "Seguido por 9 pagamentos mensais"
"Today", "Hoje"
"Total:", "Total :"
"Including fees:", "Dos quais custos :"
"How it works ?", "Como funciona?"
"At checkout choose FLOA", "No momento do pagamento escolha FLOA"
"Enter your bank details on the secure FLOA platform", "Preencha as suas referências bancárias na plataforma segura FLOA"
"And that's it. As easy as paying cash.", "E já está. Tão simples como um pagamento a pronto."
"You get an immediate response.", "Dispõe de uma resposta imediata"
"Subject to acceptance by FLOA. You have a withdrawal period.", "Sujeito a aceitação pela FLOA. Tem o direito de retratamento."
"Consult the", "Consulte as"
"conditions here", "condições aqui"
"PAYLATER", "PAYLATER"
